Year,State,Brand,Share_Percent,Total_Claims
2022,WA,Mounjaro,0.3,84
2022,WA,Ozempic,52.5,13643
2022,WA,Rybelsus,4.0,1048
2022,WA,Trulicity,43.2,11215
2022,WI,Mounjaro,0.5,238
2022,WI,Ozempic,37.6,18049
2022,WI,Rybelsus,3.0,1432
2022,WI,Trulicity,59.0,28339
2022,WV,Mounjaro,0.7,189
2022,WV,Ozempic,43.1,11978
2022,WV,Rybelsus,4.5,1244
2022,WV,Trulicity,51.7,14369
2022,WY,Ozempic,47.2,519
2022,WY,Trulicity,52.8,580
2023,AE,Mounjaro,5.5,11
2023,AE,Ozempic,47.3,95
2023,AE,Trulicity,47.3,95
2023,AK,Mounjaro,19.3,643
2023,AK,Ozempic,58.2,1934
2023,AK,Rybelsus,4.1,137
2023,AK,Trulicity,18.3,609
2023,AL,Mounjaro,25.3,53447
2023,AL,Ozempic,42.7,90230
2023,AL,Rybelsus,5.7,12084
2023,AL,Trulicity,26.3,55557
2023,AP,Mounjaro,15.3,124
2023,AP,Ozempic,13.7,111
2023,AP,Rybelsus,1.9,15
2023,AP,Trulicity,69.1,558
2023,AR,Mounjaro,20.3,12943
2023,AR,Ozempic,52.7,33554
2023,AR,Rybelsus,2.4,1504
2023,AR,Trulicity,24.7,15721
2023,AZ,Mounjaro,11.3,7166
2023,AZ,Ozempic,43.5,27641
2023,AZ,Rybelsus,4.5,2879
2023,AZ,Trulicity,40.6,25806
2023,CA,Mounjaro,10.0,48610
2023,CA,Ozempic,44.6,216978
2023,CA,Rybelsus,10.5,51248
2023,CA,Trulicity,34.8,169251
2023,CO,Mounjaro,20.0,5235
2023,CO,Ozempic,34.3,8992
2023,CO,Rybelsus,2.9,769
2023,CO,Trulicity,42.8,11203
2023,CT,Mounjaro,15.5,12458
2023,CT,Ozempic,49.7,39868
2023,CT,Rybelsus,4.1,3302
2023,CT,Trulicity,30.7,24643
2023,DC,Mounjaro,10.2,489
2023,DC,Ozempic,37.3,1794
2023,DC,Rybelsus,2.3,112
2023,DC,Trulicity,50.2,2413
2023,DE,Mounjaro,7.6,1360
2023,DE,Ozempic,49.5,8860
2023,DE,Rybelsus,6.7,1194
2023,DE,Trulicity,36.3,6503
2023,FL,Mounjaro,14.7,52507
2023,FL,Ozempic,47.8,170898
2023,FL,Rybelsus,6.5,23187
2023,FL,Trulicity,31.0,110941
2023,GA,Mounjaro,18.9,46247
2023,GA,Ozempic,45.6,111432
2023,GA,Rybelsus,6.6,16091
2023,GA,Trulicity,28.8,70372
2023,GU,Mounjaro,6.1,16
2023,GU,Ozempic,20.7,54
2023,GU,Rybelsus,4.6,12
2023,GU,Trulicity,68.6,179
2023,HI,Mounjaro,6.0,709
2023,HI,Ozempic,54.7,6446
2023,HI,Rybelsus,11.0,1299
2023,HI,Trulicity,28.3,3337
2023,IA,Mounjaro,10.4,4517
2023,IA,Ozempic,55.7,24126
2023,IA,Rybelsus,3.9,1678
2023,IA,Trulicity,30.0,13002
2023,ID,Mounjaro,14.5,3164
2023,ID,Ozempic,50.0,10882
2023,ID,Rybelsus,2.1,464
2023,ID,Trulicity,33.3,7242
2023,IL,Mounjaro,9.6,15511
2023,IL,Ozempic,46.7,75516
2023,IL,Rybelsus,6.2,10083
2023,IL,Trulicity,37.5,60605
2023,IN,Mounjaro,19.9,31642
2023,IN,Ozempic,43.4,68898
2023,IN,Rybelsus,4.4,6970
2023,IN,Trulicity,32.3,51338
2023,KS,Mounjaro,14.2,6040
2023,KS,Ozempic,52.4,22315
